StoreID,Total_Visits,Avg_Call_Duration,Salesperson_Count,StoreLatitude,StoreLongitude,GeoCluster,Milk,Bread,Cheese,Yogurt,Butter,Cream,IceCream,Ghee,Paneer,Milk_Qty,Bread_Qty,Cheese_Qty,Yogurt_Qty,Butter_Qty,Cream_Qty,IceCream_Qty,Ghee_Qty,Paneer_Qty,Pred_Milk,Pred_Bread,Pred_Cheese,Pred_Yogurt,Pred_Butter,Pred_Cream,Pred_IceCream,Pred_Ghee,Pred_Paneer
S#300-60002,3,2.0,1,3.7349599999999996,103.30458500000002,4.0,1,1,0,1,0,1,1,1,1,43,44,0,17,0,7,17,43,7,22.422864036498964,15.824768235661931,10.379270346318865,13.68531144479348,12.460553162278051,8.235042121336008,9.197537701983418,8.316837129457504,11.376511944755277
S#300-90005,1,2.0,1,3.8171347,103.3082287,4.0,0,0,0,1,0,0,1,0,0,0,0,0,23,0,0,44,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-A0039,1,0.0,1,3.8142577,103.2865982,4.0,1,1,1,1,0,0,1,0,0,23,32,43,43,0,0,28,0,0,28.93538086994707,17.93934790291408,16.409144610699762,17.320775577363815,11.758715182285039,13.04808837730896,16.02873403965316,4.550161954875191,0.0
S#300-A0064,1,2.0,1,3.868813333,103.2503267,4.0,1,0,0,1,1,0,0,0,0,43,0,0,44,9,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-A0070,2,1.0,1,3.81421281,103.2866327,4.0,1,1,0,0,0,1,0,1,0,48,33,0,0,0,12,0,20,0,20.152709712942894,18.31388706269105,8.296968607028322,11.973273731096477,10.352236111998845,12.101967061614905,10.617441903008972,8.147074453836712,14.064636069137636
S#300-A0080,2,2.0,1,3.3798627,102.9361782,4.0,1,1,0,0,0,1,0,0,1,19,43,0,0,0,36,0,0,47,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-A0081,1,2.0,1,3.7523547,103.3142895,4.0,1,1,1,1,1,0,0,0,0,13,45,42,6,29,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-A0087,2,0.0,1,3.068468333,103.0718833,4.0,0,0,1,1,0,0,0,0,0,0,0,12,34,0,0,0,0,0,16.585888888888892,8.811789835164838,9.10034432234432,20.19766285103785,16.379917429792425,0.0,8.5655,0.0,10.528355769230764
S#300-A0089,2,1.0,1,3.8142438,103.286659,4.0,1,0,0,0,0,1,1,0,0,21,0,0,0,0,18,45,0,0,20.152709712942894,18.31388706269105,8.296968607028322,11.973273731096477,10.352236111998845,12.101967061614905,10.617441903008972,8.147074453836712,14.064636069137636
S#300-A0092,2,1.5,1,3.7734741,103.2348112,4.0,1,0,1,0,0,0,1,1,0,12,0,44,0,0,0,41,45,0,22.519486554028482,19.918833661006747,10.565305277090301,14.073130180065263,10.67533113537008,7.572066543993325,9.748822793661116,7.927961077929902,13.92000294999331
